# 2026-09-18 07:17:38  anchor_train.py --out runs/C_pf_far_ep250 --row 1.0 --n-move 5 --epoch-len 1150 --epochs 250 --eval-every 10 --tta 8 --seed 1 --pf-channels 2 --far-anchor 0.6
grid: 256 rows x 336 cols (row 1.0 ft, colw 32.0 ft), state grid 64 bins of 4.0 ft, stem_stride 1, arch effnet, GR prefilter 0 ft
wells: 773 total -> 618 train / 155 holdout (first holdout d07aed8f)
wells: cache hit C:\Users\sudha\OneDrive\Documents\GitHub\Erudition\kaggle2ndplace\cache\wells__773_cf8a82a2.npz
scored rows in holdout: 754,122
model: GR2TVTAnchorNet 3.74M params, n_move=5, dzl_head=True, pretrained=True
schedule: 250 epochs x 95 steps (batch 6 x accum 2), lr 0.001, warmup 200
epoch 153/250  loss 0.5378  ce 0.2719  huber 0.0211  dzl 0.2448  oov 0.00009  lr 1.00e-03  30s
epoch 154/250  loss 0.5379  ce 0.2745  huber 0.0215  dzl 0.2419  oov 0.00007  lr 1.00e-03  29s
epoch 155/250  loss 0.5339  ce 0.2694  huber 0.0208  dzl 0.2437  oov 0.00010  lr 1.00e-03  29s
epoch 156/250  loss 0.5333  ce 0.2688  huber 0.0206  dzl 0.2438  oov 0.00010  lr 1.00e-03  29s
epoch 157/250  loss 0.5312  ce 0.2699  huber 0.0210  dzl 0.2404  oov 0.00011  lr 1.00e-03  29s
epoch 158/250  loss 0.5365  ce 0.2709  huber 0.0209  dzl 0.2447  oov 0.00011  lr 1.00e-03  29s
epoch 159/250  loss 0.5367  ce 0.2724  huber 0.0209  dzl 0.2434  oov 0.00009  lr 1.00e-03  29s  | holdout pooled RMSE 7.6430 ft
epoch 160/250  loss 0.5222  ce 0.2659  huber 0.0206  dzl 0.2357  oov 0.00009  lr 1.00e-03  29s
epoch 161/250  loss 0.5331  ce 0.2717  huber 0.0207  dzl 0.2407  oov 0.00012  lr 1.00e-03  29s
epoch 162/250  loss 0.5248  ce 0.2664  huber 0.0205  dzl 0.2379  oov 0.00008  lr 1.00e-03  29s
epoch 163/250  loss 0.5312  ce 0.2703  huber 0.0206  dzl 0.2404  oov 0.00012  lr 1.00e-03  29s
epoch 164/250  loss 0.5265  ce 0.2659  huber 0.0206  dzl 0.2400  oov 0.00006  lr 1.00e-03  29s
epoch 165/250  loss 0.5301  ce 0.2704  huber 0.0208  dzl 0.2389  oov 0.00007  lr 1.00e-03  30s
epoch 166/250  loss 0.5280  ce 0.2687  huber 0.0202  dzl 0.2391  oov 0.00009  lr 1.00e-03  29s
epoch 167/250  loss 0.5218  ce 0.2645  huber 0.0203  dzl 0.2370  oov 0.00011  lr 1.00e-03  29s
epoch 168/250  loss 0.5268  ce 0.2669  huber 0.0206  dzl 0.2392  oov 0.00010  lr 1.00e-03  29s
epoch 169/250  loss 0.5152  ce 0.2619  huber 0.0203  dzl 0.2330  oov 0.00005  lr 1.00e-03  30s  | holdout pooled RMSE 7.6671 ft
epoch 170/250  loss 0.5203  ce 0.2630  huber 0.0200  dzl 0.2372  oov 0.00008  lr 1.00e-03  29s
epoch 171/250  loss 0.5237  ce 0.2656  huber 0.0203  dzl 0.2378  oov 0.00011  lr 1.00e-03  29s
